Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2804047187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
86000	-84.445006	174	1.424848	3.589790	9.322039	5.595338	0.173967	0.086990	0.140762	0.598282	0.007486	0.004201	0.171296	0.817017	0.003173	0.001756	0.174465	0.820606	0.011706	0.006247	0.177380	0.804667	0.036401	0.018687	0.176171	0.768741	0.105981	0.053130	0.159830	0.681059	
87000	-85.202861	582	24.874472	13.377805	3.071733	1.883146	0.265241	0.114693	0.132620	0.487446	0.029063	0.182167	0.014532	0.774238	0.065742	0.171691	0.032871	0.729696	0.078275	0.168111	0.039138	0.714476	0.203404	0.132361	0.101702	0.562533	0.289912	0.107644	0.144956	0.457488	
88000	-83.017103	424	0.636857	1.377960	4.545395	2.481144	0.238396	0.114953	0.126828	0.519823	0.000056	0.000081	0.075443	0.924419	0.000389	0.000489	0.085357	0.913765	0.001472	0.001570	0.099041	0.897918	0.037965	0.021734	0.160298	0.780003	0.163613	0.073593	0.158149	0.604645	
89000	-82.044637	503	0.932791	1.845791	8.651664	5.538074	0.231770	0.115904	0.124236	0.528089	0.000237	0.000147	0.159242	0.840374	0.002502	0.001437	0.169311	0.826750	0.008015	0.004364	0.175470	0.812151	0.074532	0.038219	0.165573	0.721676	0.169745	0.085355	0.141236	0.603664	
90000	-83.246035	116	0.778261	1.340443	20.308288	10.654298	0.278988	0.139494	0.110765	0.470752	0.000363	0.000182	0.190280	0.809176	0.001023	0.000511	0.190154	0.808312	0.020165	0.010083	0.184706	0.785045	0.067628	0.033814	0.171153	0.727405	0.207019	0.103509	0.131328	0.558144	
91000	-83.948187	12	0.593888	1.817846	17.234059	5.484492	0.216783	0.108391	0.128538	0.546287	0.000394	0.000193	0.193607	0.805805	0.000412	0.000203	0.192992	0.806393	0.002832	0.001407	0.190623	0.805138	0.053160	0.026477	0.175862	0.744501	0.147523	0.073726	0.148392	0.630360	
92000	-85.553530	43	38.135779	19.801425	2.793414	2.196279	0.251510	0.118616	0.125755	0.504119	0.023836	0.183666	0.011918	0.780580	0.031176	0.181569	0.015588	0.771667	0.060054	0.173318	0.030027	0.736602	0.154635	0.146295	0.077317	0.621753	0.236836	0.122809	0.118418	0.521938	
93000	-86.830930	780	21.170545	9.925518	4.991867	5.678722	0.239423	0.122070	0.119711	0.518796	0.108058	0.159624	0.054021	0.678298	0.111107	0.158722	0.055557	0.674614	0.165565	0.143170	0.082784	0.608482	0.192296	0.135536	0.096147	0.576021	0.219913	0.127644	0.109956	0.542487	
94000	-85.086173	812	1.090834	1.423211	10.908192	5.037930	0.265617	0.132791	0.114601	0.486991	0.004024	0.002030	0.187923	0.806024	0.002025	0.001023	0.188273	0.808679	0.002483	0.001257	0.187950	0.808310	0.071878	0.035701	0.170899	0.721522	0.204600	0.101866	0.132557	0.560977	
95000	-81.279700	931	1.895465	2.902018	3.978669	4.157445	0.217590	0.113207	0.123416	0.545787	0.000327	0.001383	0.026999	0.971292	0.000814	0.002628	0.035020	0.961538	0.008136	0.015387	0.057188	0.919288	0.058197	0.054380	0.099235	0.788188	0.148305	0.093308	0.119471	0.638916	
96000	-83.968728	465	4.596834	2.294150	1.779364	1.877552	0.265350	0.120872	0.125983	0.487795	0.006067	0.089309	0.007173	0.897451	0.004884	0.064004	0.008285	0.922828	0.005963	0.073226	0.008737	0.912074	0.089655	0.134571	0.056385	0.719389	0.233689	0.134201	0.107478	0.524632	
97000	-83.783474	583	3.123578	2.026713	9.039586	5.049914	0.253534	0.126746	0.118057	0.501662	0.026167	0.015017	0.163118	0.795697	0.026581	0.014738	0.167807	0.790875	0.075494	0.039832	0.161295	0.723379	0.154050	0.078411	0.144098	0.623441	0.244002	0.121944	0.120818	0.513237	
98000	-83.925110	361	5.726599	2.885534	1.311876	1.932237	0.253845	0.119706	0.125081	0.501368	0.000576	0.122779	0.000483	0.876162	0.002321	0.105987	0.002292	0.889401	0.008493	0.125057	0.006868	0.859583	0.102663	0.154139	0.054004	0.689194	0.218242	0.135655	0.102826	0.543276	
99000	-83.658471	424	1.952138	1.834580	0.254394	1.405098	0.142756	0.158150	0.067113	0.631981	0.000000	0.003354	0.000011	0.996634	0.000005	0.005872	0.000102	0.994021	0.000033	0.013631	0.000283	0.986053	0.005136	0.068182	0.008140	0.918542	0.059019	0.151255	0.034662	0.755064	
100000	-83.703540	855	6.552842	3.934894	8.364884	5.529810	0.242390	0.121245	0.121172	0.515193	0.185742	0.109186	0.117578	0.587494	0.180601	0.101527	0.124234	0.593638	0.186580	0.103259	0.124498	0.585662	0.215094	0.113693	0.122197	0.549016	0.239527	0.120603	0.121193	0.518678	
101000	-84.078353	473	3.646785	2.644023	6.223766	3.640201	0.239621	0.119657	0.122169	0.518554	0.037951	0.030561	0.118739	0.812749	0.020233	0.017765	0.113668	0.848334	0.033291	0.027056	0.118822	0.820831	0.102516	0.062037	0.135984	0.699463	0.211252	0.106863	0.128663	0.553222	
102000	-85.043022	445	10.187445	7.097389	11.083247	8.355109	0.242400	0.121206	0.121213	0.515181	0.221771	0.118325	0.119221	0.540683	0.223269	0.117162	0.120790	0.538779	0.229548	0.118519	0.120982	0.530951	0.237245	0.120125	0.121163	0.521467	0.241416	0.120996	0.121212	0.516377	
103000	-82.432497	744	0.405538	1.554837	4.219438	2.963527	0.183695	0.091908	0.137907	0.586489	0.000025	0.000061	0.045011	0.954903	0.000119	0.000221	0.059664	0.939996	0.000271	0.000439	0.067632	0.931658	0.018757	0.014972	0.124122	0.842148	0.097427	0.053216	0.150520	0.698838	
104000	-85.437181	425	8.445188	2.863483	0.909698	2.026440	0.203842	0.133480	0.100926	0.561752	0.001760	0.253470	0.000608	0.744162	0.005711	0.221198	0.002341	0.770750	0.006961	0.211311	0.003018	0.778710	0.053149	0.215551	0.020616	0.710684	0.143658	0.163586	0.064870	0.627885	
105000	-83.339711	53	2.683263	2.279030	10.159088	5.074314	0.236074	0.118002	0.123063	0.522862	0.025171	0.013232	0.175851	0.785747	0.019678	0.010207	0.179353	0.790762	0.071693	0.036299	0.168187	0.723821	0.115855	0.057933	0.157362	0.668851	0.198479	0.098897	0.134208	0.568415	
106000	-81.754931	42	0.926100	1.841148	4.326203	3.034407	0.218056	0.109497	0.127641	0.544807	0.000488	0.000909	0.059351	0.939251	0.000347	0.000652	0.058913	0.940089	0.001257	0.002039	0.067430	0.929274	0.029126	0.024463	0.116280	0.830132	0.130981	0.073546	0.137797	0.657676	
107000	-83.541515	326	1.925907	1.758309	8.291547	4.927442	0.274980	0.137480	0.111919	0.475621	0.002103	0.001328	0.156466	0.840103	0.002574	0.001606	0.157982	0.837838	0.020888	0.011964	0.164810	0.802338	0.130584	0.068329	0.147050	0.654036	0.258378	0.129570	0.116304	0.495749	
108000	-85.505907	922	2.397437	3.492305	28.964602	16.200049	0.224556	0.112278	0.126317	0.536849	0.014460	0.007230	0.186344	0.791966	0.013898	0.006949	0.186505	0.792647	0.027327	0.013663	0.182669	0.776342	0.069469	0.034734	0.170628	0.725169	0.152641	0.076321	0.146864	0.624174	
109000	-86.881376	990	6.117305	6.877527	9.967931	6.695893	0.241985	0.120997	0.121333	0.515684	0.166066	0.089415	0.133507	0.611013	0.164026	0.087755	0.134873	0.613345	0.182199	0.095452	0.132467	0.589883	0.205351	0.104703	0.129351	0.560596	0.232816	0.116707	0.123643	0.526834	
110000	-81.543122	551	2.242978	2.296128	5.367787	3.267738	0.236457	0.118071	0.123080	0.522392	0.002992	0.003944	0.081368	0.911697	0.007396	0.008181	0.094642	0.889782	0.023868	0.020406	0.115605	0.840120	0.088340	0.055464	0.135116	0.721080	0.196719	0.101102	0.130796	0.571383	
111000	-84.150106	961	4.509495	2.906374	4.403652	3.603512	0.240302	0.121758	0.120211	0.517729	0.030867	0.062257	0.049983	0.856893	0.023524	0.046711	0.052005	0.877760	0.063498	0.075180	0.077850	0.783472	0.151391	0.109966	0.102959	0.635684	0.212751	0.121937	0.113308	0.552004	
112000	-84.972682	841	14.676155	6.880478	5.679774	4.854918	0.240967	0.121629	0.120483	0.516921	0.138602	0.151219	0.069126	0.641054	0.155588	0.145912	0.077858	0.620642	0.165755	0.142997	0.082954	0.608295	0.200637	0.133296	0.100204	0.565863	0.229926	0.124820	0.114929	0.530325	
113000	-85.350226	206	11.296238	5.776977	25.456326	11.028245	0.242430	0.121215	0.121211	0.515145	0.240880	0.120434	0.121660	0.517027	0.239315	0.119658	0.122100	0.518927	0.239824	0.119912	0.121955	0.518309	0.242249	0.121124	0.121263	0.515364	0.242569	0.121285	0.121171	0.514975	
114000	-86.752614	91	4.093616	2.607936	7.420615	7.983423	0.242740	0.121412	0.121080	0.514768	0.073806	0.045919	0.139986	0.740290	0.078455	0.044903	0.149473	0.727169	0.107241	0.058417	0.148192	0.686150	0.176511	0.092783	0.133633	0.597074	0.229136	0.116170	0.123308	0.531386	
115000	-85.614847	586	17.933577	11.936164	16.476481	7.950916	0.242424	0.121212	0.121212	0.515151	0.242026	0.121229	0.121109	0.515635	0.242187	0.121217	0.121156	0.515440	0.242275	0.121220	0.121172	0.515332	0.242428	0.121202	0.121224	0.515147	0.242431	0.121210	0.121216	0.515144	
116000	-83.664116	694	0.801008	3.027794	2.909959	1.852820	0.199920	0.082023	0.160018	0.558039	0.000033	0.000266	0.014551	0.985149	0.000533	0.001917	0.031573	0.965977	0.000701	0.001971	0.040063	0.957265	0.045183	0.025920	0.158079	0.770819	0.120037	0.040462	0.217197	0.622304	
117000	-81.543473	877	0.207067	1.522406	2.424185	3.843697	0.101813	0.056835	0.146451	0.694902	0.000000	0.000005	0.010196	0.989798	0.000011	0.000064	0.019584	0.980342	0.000055	0.000208	0.030304	0.969433	0.003547	0.006385	0.060738	0.929330	0.031694	0.028135	0.110019	0.830152	
118000	-84.532320	96	0.423739	1.502206	22.554081	17.270166	0.199315	0.099657	0.133529	0.567499	0.000564	0.000282	0.190300	0.808854	0.000263	0.000131	0.190397	0.809209	0.001146	0.000573	0.190147	0.808133	0.032858	0.016429	0.181088	0.769625	0.115303	0.057652	0.157532	0.669512	
119000	-82.555041	431	2.030656	2.062916	6.789124	5.252038	0.235815	0.118252	0.122744	0.523189	0.007472	0.005390	0.138415	0.848723	0.004732	0.003327	0.142216	0.849726	0.019311	0.012219	0.151836	0.816634	0.074962	0.043417	0.148844	0.732777	0.186488	0.096485	0.132839	0.584188	
120000	-83.217914	440	3.209704	2.301850	0.385764	1.505033	0.226480	0.130558	0.108977	0.533984	0.000002	0.008962	0.000025	0.991011	0.000002	0.008962	0.000025	0.991011	0.000156	0.027782	0.000642	0.971420	0.023148	0.104558	0.022142	0.850152	0.139092	0.148934	0.070482	0.641491	
121000	-80.590293	325	0.290658	1.686615	4.113692	2.732733	0.118743	0.058747	0.158013	0.664497	0.000002	0.000004	0.042740	0.957254	0.000031	0.000064	0.053273	0.946632	0.000213	0.000340	0.068791	0.930656	0.005670	0.004656	0.124021	0.865654	0.052329	0.027136	0.170226	0.750309	
122000	-82.773625	389	0.293196	1.528506	4.157073	2.148946	0.168097	0.076015	0.156053	0.599834	0.000026	0.000039	0.071406	0.928529	0.000032	0.000048	0.072080	0.927841	0.000192	0.000250	0.083092	0.916466	0.020177	0.010810	0.174476	0.794537	0.102431	0.041724	0.191792	0.664052	
123000	-83.885271	342	2.229318	2.612718	15.379219	6.539869	0.233816	0.116908	0.123672	0.525604	0.008981	0.004484	0.188129	0.798406	0.010182	0.005085	0.187751	0.796982	0.043973	0.021982	0.177939	0.756106	0.125709	0.062816	0.154644	0.656831	0.189169	0.094556	0.136467	0.579808	
124000	-85.817037	28	1.191327	2.188547	10.244791	3.155451	0.192202	0.095969	0.135737	0.576092	0.005387	0.002459	0.203338	0.788816	0.002948	0.001351	0.203344	0.792357	0.006662	0.003108	0.199407	0.790823	0.035128	0.015892	0.195853	0.753128	0.106639	0.050861	0.166700	0.675800	
125000	-81.714702	958	1.240236	1.611828	3.373002	3.736766	0.263742	0.144540	0.104576	0.487143	0.000043	0.000301	0.016412	0.983244	0.000473	0.001870	0.028827	0.968831	0.009276	0.018334	0.054630	0.917760	0.034163	0.047904	0.071053	0.846880	0.176092	0.124597	0.099698	0.599614	
126000	-82.918589	684	2.125378	1.869846	11.433318	7.485658	0.267087	0.133548	0.114162	0.485204	0.003234	0.001728	0.179530	0.815508	0.005819	0.003066	0.180900	0.810215	0.025006	0.012897	0.178698	0.783398	0.111909	0.056774	0.156492	0.674825	0.239359	0.119899	0.121865	0.518876	
127000	-82.864794	32	2.200474	1.695055	11.502918	6.110050	0.278360	0.139173	0.110951	0.471516	0.007035	0.003642	0.183176	0.806147	0.012024	0.006137	0.183913	0.797926	0.068487	0.034469	0.169961	0.727083	0.149031	0.074551	0.147832	0.628586	0.262396	0.131101	0.115594	0.490910	
128000	-83.740676	219	0.264482	2.219651	5.847777	6.100058	0.078919	0.039750	0.166879	0.714453	0.000063	0.000065	0.101427	0.898445	0.000170	0.000132	0.131207	0.868491	0.000303	0.000214	0.142416	0.857067	0.008156	0.005073	0.156947	0.829823	0.034573	0.018448	0.171069	0.775910	
129000	-82.195109	492	1.096342	2.157483	2.043399	3.347509	0.182003	0.105802	0.119873	0.592321	0.000313	0.002012	0.017946	0.979729	0.000260	0.002019	0.014893	0.982828	0.000981	0.005212	0.021529	0.972278	0.011742	0.026890	0.046974	0.914394	0.070179	0.071894	0.088375	0.769552	
130000	-81.762886	83	1.308682	2.634128	7.386531	3.797335	0.205713	0.102572	0.132051	0.559664	0.001156	0.000746	0.153880	0.844218	0.002777	0.001671	0.162839	0.832713	0.010511	0.005987	0.168362	0.815140	0.053673	0.026675	0.176030	0.743622	0.136481	0.066449	0.155119	0.641950	
131000	-81.619484	51	0.207389	1.644420	4.490694	4.156995	0.092176	0.047546	0.159770	0.700507	0.000050	0.000077	0.070276	0.929597	0.000017	0.000025	0.073357	0.926602	0.000228	0.000255	0.094909	0.904608	0.007952	0.006281	0.127798	0.857969	0.036986	0.022648	0.151549	0.788817	
132000	-81.177730	474	2.374501	1.977619	8.213005	4.351655	0.259012	0.129366	0.116602	0.495020	0.008977	0.005502	0.158707	0.826815	0.007501	0.004483	0.162504	0.825513	0.046390	0.025228	0.165119	0.763263	0.141327	0.071895	0.147779	0.639000	0.240363	0.119413	0.122582	0.517642	
133000	-83.785657	754	4.251422	2.986767	6.056973	6.005523	0.242043	0.121291	0.121052	0.515614	0.031445	0.034261	0.091050	0.843244	0.032490	0.032233	0.099151	0.836125	0.065677	0.052098	0.113944	0.768281	0.167660	0.099888	0.120785	0.611667	0.224211	0.118358	0.119816	0.537616	
134000	-83.923164	329	0.844486	2.448953	16.538629	7.840779	0.180152	0.090076	0.139004	0.590768	0.000253	0.000127	0.190244	0.809376	0.000813	0.000407	0.190142	0.808639	0.008424	0.004214	0.188016	0.799346	0.034815	0.017400	0.180593	0.767192	0.106720	0.053356	0.159995	0.679928	
135000	-81.639790	436	0.335464	2.132789	7.216055	3.586523	0.112683	0.056087	0.158911	0.672319	0.000158	0.000094	0.165532	0.834216	0.000060	0.000035	0.166957	0.832948	0.000951	0.000529	0.174351	0.824169	0.015252	0.007438	0.189955	0.787355	0.049316	0.023466	0.183803	0.743415	
136000	-83.327910	708	1.952393	1.282372	7.689628	5.656524	0.356721	0.178647	0.088387	0.376246	0.007231	0.004888	0.146448	0.841432	0.004879	0.003133	0.153598	0.838390	0.056516	0.032311	0.155503	0.755670	0.194625	0.102243	0.128653	0.574479	0.344625	0.174880	0.090432	0.390063	
137000	-83.206527	367	1.260176	1.540660	14.578528	6.314225	0.263115	0.131556	0.115302	0.490027	0.000787	0.000393	0.190333	0.808487	0.002498	0.001248	0.189852	0.806402	0.018925	0.009462	0.185073	0.786540	0.084532	0.042183	0.166605	0.706680	0.209148	0.104524	0.130780	0.555548	
138000	-85.458005	977	5.093735	4.770939	14.207209	6.136080	0.239582	0.119788	0.122027	0.518603	0.107648	0.053547	0.160440	0.678365	0.121278	0.060474	0.156201	0.662047	0.132139	0.065973	0.152922	0.648966	0.172216	0.085660	0.141955	0.600169	0.218535	0.109129	0.128195	0.544140	
139000	-82.627771	893	0.488194	2.432690	1.146089	2.636013	0.102636	0.071099	0.119954	0.706312	0.000001	0.000099	0.001320	0.998579	0.000008	0.000283	0.003353	0.996356	0.000788	0.005668	0.015992	0.977552	0.002229	0.009185	0.027446	0.961141	0.023967	0.033237	0.073727	0.869070	
140000	-83.902400	468	2.547410	1.886012	9.845210	5.734744	0.255634	0.127813	0.117442	0.499111	0.008926	0.004936	0.172993	0.813146	0.026311	0.013798	0.175879	0.784011	0.034041	0.017689	0.175061	0.773209	0.126912	0.064219	0.152584	0.656284	0.235210	0.117643	0.123234	0.523913	
141000	-83.975430	873	1.034580	2.737811	12.615370	9.700765	0.189342	0.094672	0.136378	0.579609	0.000547	0.000282	0.185691	0.813480	0.001257	0.000644	0.186437	0.811662	0.007646	0.003864	0.186682	0.801808	0.059124	0.029646	0.173170	0.738059	0.130256	0.065150	0.153215	0.651380	
142000	-81.660514	253	0.086824	2.345597	0.052823	1.900004	0.005248	0.027265	0.021423	0.946064	0.000000	0.000002	0.000001	0.999997	0.000000	0.000007	0.000003	0.999990	0.000000	0.000030	0.000012	0.999958	0.000063	0.003077	0.002406	0.994454	0.000679	0.009558	0.008203	0.981561	
143000	-82.043293	782	2.273683	1.649023	1.279623	1.696900	0.311101	0.133452	0.119548	0.435899	0.000062	0.005067	0.001430	0.993441	0.000059	0.003178	0.002161	0.994603	0.001427	0.020058	0.008120	0.970396	0.054719	0.097568	0.052470	0.795243	0.254181	0.146220	0.101805	0.497795	
144000	-81.016997	40	0.460155	1.892500	4.031376	3.051767	0.124677	0.063694	0.151922	0.659708	0.000030	0.000064	0.051664	0.948243	0.000170	0.000312	0.060325	0.939193	0.000450	0.000658	0.074480	0.924412	0.008208	0.007270	0.115434	0.869088	0.054684	0.031979	0.152968	0.760370	
145000	-80.085689	49	0.716855	1.761588	1.128977	2.183703	0.153905	0.101603	0.112607	0.631885	0.000001	0.000181	0.000722	0.999096	0.000063	0.001349	0.005430	0.993158	0.002085	0.011522	0.020559	0.965834	0.004885	0.018580	0.029301	0.947233	0.055029	0.065072	0.079619	0.800279	
146000	-85.467993	227	3.679358	2.285424	1.485321	3.297154	0.210299	0.132812	0.103153	0.553736	0.001183	0.037800	0.003527	0.957490	0.001214	0.029666	0.004642	0.964478	0.003404	0.046374	0.008137	0.942085	0.034466	0.112862	0.029571	0.823101	0.121159	0.150650	0.062944	0.665247	
147000	-81.518978	959	0.894890	1.513472	5.407917	3.493862	0.241635	0.120967	0.121287	0.516111	0.000656	0.000702	0.098924	0.899719	0.000803	0.000758	0.110655	0.887784	0.000946	0.000897	0.110161	0.887996	0.042733	0.027581	0.143336	0.786350	0.168472	0.087232	0.137804	0.606492	
148000	-83.029241	466	2.824166	1.883305	0.321826	2.386160	0.117607	0.169628	0.053754	0.659010	0.000003	0.011681	0.000034	0.988282	0.000012	0.011646	0.000121	0.988221	0.000115	0.029588	0.000445	0.969852	0.006363	0.109056	0.006030	0.878551	0.048215	0.187783	0.022401	0.741601	
149000	-82.284276	944	1.111921	2.006874	4.827725	3.724624	0.205168	0.104686	0.129312	0.560834	0.001016	0.001426	0.077167	0.920391	0.000397	0.000591	0.073142	0.925870	0.002792	0.003366	0.088345	0.905497	0.031633	0.025466	0.120226	0.822675	0.130900	0.074265	0.136512	0.658323	
150000	-81.328599	279	0.088921	1.678252	4.601499	3.122099	0.057540	0.028797	0.173901	0.739762	0.000000	0.000001	0.061483	0.938515	0.000004	0.000006	0.073185	0.926805	0.000011	0.000014	0.083066	0.916910	0.004057	0.002978	0.137156	0.855809	0.023651	0.012560	0.174787	0.789002	
151000	-83.715691	713	3.609612	2.505610	1.897166	2.389048	0.223784	0.126422	0.111997	0.537797	0.003732	0.041540	0.009985	0.944744	0.002251	0.030725	0.008264	0.958760	0.007310	0.050372	0.015819	0.926498	0.054225	0.100221	0.050602	0.794952	0.166394	0.128343	0.093336	0.611927	
152000	-84.661020	406	2.520136	1.739561	7.091665	5.283523	0.265700	0.132949	0.114474	0.486877	0.018629	0.013902	0.131756	0.835713	0.008944	0.006211	0.142674	0.842172	0.032239	0.020104	0.150409	0.797247	0.162643	0.089036	0.132371	0.615950	0.268984	0.138371	0.110309	0.482336	
153000	-84.334598	275	8.274774	4.316438	10.431824	5.910804	0.242485	0.121242	0.121196	0.515078	0.225463	0.117887	0.120611	0.536040	0.223441	0.115314	0.122755	0.538490	0.229116	0.116923	0.122516	0.531445	0.240792	0.121047	0.121025	0.517137	0.243766	0.121865	0.120847	0.513522	
154000	-83.873442	800	0.731701	2.299803	10.392130	9.074764	0.163221	0.081615	0.143835	0.611329	0.001148	0.000612	0.180488	0.817752	0.000660	0.000350	0.181410	0.817581	0.003479	0.001790	0.185136	0.809596	0.025809	0.013119	0.180626	0.780445	0.100993	0.050560	0.161445	0.687002	
155000	-82.401797	397	1.119328	1.622781	6.792563	3.379855	0.281931	0.139589	0.111064	0.467416	0.000676	0.000457	0.148146	0.850722	0.000844	0.000557	0.151126	0.847474	0.002067	0.001357	0.151481	0.845095	0.100375	0.049544	0.163618	0.686464	0.241563	0.114941	0.127564	0.515931	
156000	-83.974954	581	4.678460	2.118327	6.813225	3.288802	0.260098	0.128578	0.117519	0.493806	0.079596	0.059499	0.117068	0.743836	0.075574	0.052288	0.126747	0.745391	0.117589	0.072659	0.129515	0.680237	0.243835	0.120383	0.122348	0.513434	0.281232	0.134989	0.114918	0.468861	
157000	-84.790078	499	1.392266	4.134649	8.697238	5.158143	0.191791	0.095891	0.135685	0.576633	0.001924	0.001138	0.165377	0.831561	0.005754	0.003232	0.171626	0.819388	0.012285	0.006674	0.174626	0.806414	0.038170	0.019631	0.175407	0.766791	0.103504	0.051850	0.160640	0.684007	
158000	-82.943258	930	2.559599	3.942188	0.960293	2.204345	0.174569	0.122221	0.101166	0.602045	0.000060	0.009307	0.000757	0.989876	0.000690	0.020953	0.003778	0.974578	0.001570	0.033563	0.005282	0.959586	0.015299	0.058662	0.027568	0.898471	0.079005	0.098012	0.071285	0.751698	
159000	-85.352784	815	0.397036	2.887800	6.225466	5.346309	0.106381	0.053484	0.159315	0.680821	0.000505	0.000445	0.117665	0.881384	0.000130	0.000113	0.118941	0.880816	0.000377	0.000296	0.130125	0.869201	0.011947	0.007541	0.154043	0.826469	0.047839	0.025352	0.168372	0.758438	
160000	-85.663074	555	7.172008	3.540564	12.376385	9.274950	0.243036	0.121518	0.121037	0.514409	0.209671	0.107101	0.127901	0.555327	0.204556	0.103608	0.130405	0.561430	0.209186	0.105630	0.129471	0.555713	0.238257	0.119593	0.121930	0.520220	0.247357	0.123777	0.119707	0.509159	
161000	-87.418888	206	33.208367	16.622622	8.262598	2.715865	0.244532	0.120610	0.122266	0.512592	0.309111	0.102159	0.154555	0.434175	0.271894	0.112792	0.135947	0.479366	0.269174	0.113569	0.134587	0.482669	0.293680	0.106568	0.146840	0.452913	0.262634	0.115438	0.131317	0.490611	
162000	-84.003507	309	4.674656	3.702417	0.211430	2.366828	0.076662	0.166043	0.039015	0.718279	0.000007	0.068658	0.000011	0.931324	0.000016	0.062246	0.000029	0.937709	0.000105	0.078529	0.000145	0.921221	0.004448	0.116225	0.003941	0.875386	0.026953	0.159101	0.015905	0.798040	
163000	-82.212584	52	1.567909	2.501146	8.346980	4.597036	0.223962	0.111917	0.126558	0.537564	0.001703	0.001043	0.160688	0.836566	0.002445	0.001453	0.164579	0.831523	0.008086	0.004640	0.167989	0.819285	0.073895	0.037761	0.166246	0.722099	0.174193	0.086762	0.141209	0.597835	
164000	-85.581003	330	14.799192	8.331667	0.874788	1.564458	0.239940	0.121922	0.119970	0.518168	0.001424	0.189737	0.000713	0.808126	0.001085	0.189698	0.000544	0.808673	0.006899	0.188327	0.003453	0.801320	0.066827	0.171350	0.033421	0.728401	0.171746	0.141407	0.085872	0.600975	
165000	-81.245394	474	0.715664	2.958947	4.870863	3.001509	0.139928	0.069318	0.151755	0.638999	0.000137	0.000221	0.067803	0.931839	0.000204	0.000304	0.073154	0.926339	0.003729	0.003500	0.110562	0.882209	0.020129	0.012692	0.152085	0.815094	0.065695	0.033331	0.169592	0.731381	
166000	-86.532938	631	7.917800	7.916607	0.933677	2.694279	0.162880	0.143842	0.081500	0.611779	0.001795	0.165092	0.001064	0.832049	0.002060	0.166076	0.001212	0.830651	0.005327	0.173948	0.002946	0.817779	0.027423	0.172772	0.014661	0.785144	0.096902	0.161220	0.048995	0.692884	
167000	-82.170900	357	0.809535	2.949012	1.827680	2.328701	0.161704	0.083542	0.139992	0.614762	0.000009	0.000268	0.003760	0.995964	0.000083	0.001116	0.008697	0.990104	0.000330	0.002566	0.014858	0.982246	0.014565	0.021194	0.072126	0.892116	0.073668	0.049650	0.130288	0.746394	
168000	-87.166260	356	11.981403	10.738913	6.068731	3.003630	0.245640	0.120293	0.122821	0.511246	0.201007	0.130832	0.102282	0.565879	0.183735	0.135861	0.093395	0.587009	0.187075	0.135291	0.094812	0.582822	0.243690	0.120436	0.122263	0.513611	0.256586	0.117089	0.128375	0.497950	
