Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.bttrees
Data File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.btdata
Log File Name:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2741302988
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.640000,0.160000,0.060000,0.140000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000074
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       50
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
83000	-50.265495	48	1	2	'0 Z 0 0 Z 0 0 0 	D	3.684754	0.000000	3.684754	3.684754	0.000000	3.684754	3.684754	3.684754	0.900656	0.091077	0.000175	0.008091	
84000	-49.853122	983	1	3	'0 Z 0 0 Z Z 0 0 	D	3.573013	0.000000	3.573013	3.573013	0.000000	0.000000	3.573013	3.573013	0.900651	0.093227	0.000000	0.006123	
85000	-50.751150	28	1	2	'0 Z 0 0 Z 0 0 0 	D	3.974849	0.000000	3.974849	3.974849	0.000000	3.974849	3.974849	3.974849	0.895176	0.092091	0.000492	0.012242	
86000	-50.273662	539	1	3	'0 Z 0 0 Z Z 0 0 	D	2.641330	0.000000	2.641330	2.641330	0.000000	0.000000	2.641330	2.641330	0.902172	0.093849	0.000000	0.003978	
87000	-50.289622	661	1	3	'0 Z 0 0 Z Z 0 0 	D	4.122921	0.000000	4.122921	4.122921	0.000000	0.000000	4.122921	4.122921	0.916273	0.078760	0.000000	0.004967	
88000	-51.484302	773	1	2	'0 Z 0 0 0 0 Z 0 	D	4.091079	0.000000	4.091079	4.091079	4.091079	4.091079	0.000000	4.091079	0.897844	0.070948	0.025774	0.005434	
89000	-48.519829	492	2	3	'0 Z 1 1 Z Z 0 1 	D	2.763156	0.000000	3.900894	3.900894	0.000000	0.000000	2.763156	3.900894	0.896155	0.100910	0.000000	0.002935	
90000	-50.935946	758	1	3	'0 Z 0 0 Z Z 0 0 	D	4.498834	0.000000	4.498834	4.498834	0.000000	0.000000	4.498834	4.498834	0.897435	0.093266	0.000000	0.009299	
91000	-51.345784	273	1	2	'0 Z 0 0 Z 0 0 0 	D	4.724979	0.000000	4.724979	4.724979	0.000000	4.724979	4.724979	4.724979	0.889968	0.094662	0.000778	0.014592	
92000	-50.283746	442	1	2	'0 Z 0 0 Z 0 0 0 	D	3.222321	0.000000	3.222321	3.222321	0.000000	3.222321	3.222321	3.222321	0.898805	0.093897	0.000107	0.007192	
93000	-49.724643	806	1	3	'0 Z 0 0 Z Z 0 0 	D	3.583839	0.000000	3.583839	3.583839	0.000000	0.000000	3.583839	3.583839	0.897481	0.094938	0.000000	0.007581	
94000	-50.781038	321	1	1	'0 Z 0 0 0 0 0 0 	D	4.819069	0.000000	4.819069	4.819069	4.819069	4.819069	4.819069	4.819069	0.768187	0.118037	0.051664	0.062111	
95000	-50.593807	191	1	2	'0 Z 0 0 0 0 Z 0 	D	3.114125	0.000000	3.114125	3.114125	3.114125	3.114125	0.000000	3.114125	0.891126	0.077984	0.027329	0.003562	
96000	-51.279569	861	1	4	'0 Z 0 0 Z Z Z 0 	D	3.420785	0.000000	3.420785	3.420785	0.000000	0.000000	0.000000	3.420785	0.953260	0.046740	0.000000	0.000000	
97000	-49.819119	358	1	2	'0 Z 0 0 Z 0 0 0 	D	2.539060	0.000000	2.539060	2.539060	0.000000	2.539060	2.539060	2.539060	0.886662	0.105883	0.000088	0.007367	
98000	-51.662895	721	1	1	'0 Z 0 0 0 0 0 0 	D	5.329440	0.000000	5.329440	5.329440	5.329440	5.329440	5.329440	5.329440	0.759630	0.119956	0.050139	0.070276	
99000	-51.502645	415	1	1	'0 Z 0 0 0 0 0 0 	D	1.979164	0.000000	1.979164	1.979164	1.979164	1.979164	1.979164	1.979164	0.701261	0.159002	0.094463	0.045274	
100000	-53.152032	783	1	2	'0 Z 0 0 Z 0 0 0 	D	6.264854	0.000000	6.264854	6.264854	0.000000	6.264854	6.264854	6.264854	0.877135	0.102375	0.001296	0.019194	
101000	-50.938312	206	1	4	'0 Z 0 0 Z Z Z 0 	D	2.905282	0.000000	2.905282	2.905282	0.000000	0.000000	0.000000	2.905282	0.957290	0.042710	0.000000	0.000000	
102000	-50.776146	413	1	3	'0 Z 0 0 Z Z 0 0 	D	2.716158	0.000000	2.716158	2.716158	0.000000	0.000000	2.716158	2.716158	0.876704	0.115888	0.000000	0.007408	
103000	-52.496918	45	1	1	'0 Z 0 0 0 0 0 0 	D	1.724271	0.000000	1.724271	1.724271	1.724271	1.724271	1.724271	1.724271	0.747447	0.147775	0.068667	0.036112	
104000	-50.598209	650	2	0	'0 0 1 0 1 1 0 1 	D	2.318827	2.318827	15.501061	2.318827	15.501061	15.501061	2.318827	15.501061	0.589679	0.154511	0.071305	0.184506	
105000	-48.451020	842	2	1	'0 0 1 Z 1 1 0 1 	D	3.625714	3.625714	24.975103	0.000000	24.975103	24.975103	3.625714	24.975103	0.614829	0.146939	0.067769	0.170464	
106000	-51.014066	940	2	1	'0 0 Z 0 1 1 0 1 	D	1.476131	1.476131	0.000000	1.476131	6.612063	6.612063	1.476131	6.612063	0.853435	0.000959	0.068894	0.076712	
107000	-51.373349	270	2	0	'1 1 1 0 1 0 0 0 	D	1.183819	1.183819	1.183819	18.159656	1.183819	18.159656	18.159656	18.159656	0.980339	0.009493	0.003561	0.006608	
